"gener"	"sex"	"dipl"	"statut"	"Freq"
"25.29"	"Femmes"	"CITE4"	"Chômeurs"	1827
"30.34"	"Femmes"	"CITE4"	"Chômeurs"	1901
"35.39"	"Femmes"	"CITE4"	"Chômeurs"	1317
"40.44"	"Femmes"	"CITE4"	"Chômeurs"	845
"45.49"	"Femmes"	"CITE4"	"Chômeurs"	596
"50.54"	"Femmes"	"CITE4"	"Chômeurs"	567
"55.59"	"Femmes"	"CITE4"	"Chômeurs"	516
"5.9"	"Femmes"	"CITE4"	"Chômeurs"	0
"60.64"	"Femmes"	"CITE4"	"Chômeurs"	160
"65.69"	"Femmes"	"CITE4"	"Chômeurs"	0
"70.74"	"Femmes"	"CITE4"	"Chômeurs"	0
"75.79"	"Femmes"	"CITE4"	"Chômeurs"	0
"80.84"	"Femmes"	"CITE4"	"Chômeurs"	0
"85.89"	"Femmes"	"CITE4"	"Chômeurs"	0
"90.94"	"Femmes"	"CITE4"	"Chômeurs"	0
"95."	"Femmes"	"CITE4"	"Chômeurs"	0
"0.5"	"Hommes"	"CITE4"	"Chômeurs"	0
"10.14"	"Hommes"	"CITE4"	"Chômeurs"	0
"15.19"	"Hommes"	"CITE4"	"Chômeurs"	39
"20.24"	"Hommes"	"CITE4"	"Chômeurs"	1184
"25.29"	"Hommes"	"CITE4"	"Chômeurs"	1267
"30.34"	"Hommes"	"CITE4"	"Chômeurs"	1226
"35.39"	"Hommes"	"CITE4"	"Chômeurs"	924
"40.44"	"Hommes"	"CITE4"	"Chômeurs"	732
"45.49"	"Hommes"	"CITE4"	"Chômeurs"	479
"50.54"	"Hommes"	"CITE4"	"Chômeurs"	428
"55.59"	"Hommes"	"CITE4"	"Chômeurs"	368
"5.9"	"Hommes"	"CITE4"	"Chômeurs"	0
"60.64"	"Hommes"	"CITE4"	"Chômeurs"	84
"65.69"	"Hommes"	"CITE4"	"Chômeurs"	0
"70.74"	"Hommes"	"CITE4"	"Chômeurs"	0
"75.79"	"Hommes"	"CITE4"	"Chômeurs"	0
"80.84"	"Hommes"	"CITE4"	"Chômeurs"	0
"85.89"	"Hommes"	"CITE4"	"Chômeurs"	0
"90.94"	"Hommes"	"CITE4"	"Chômeurs"	0
"95."	"Hommes"	"CITE4"	"Chômeurs"	0
"0.5"	"Femmes"	"CITE5"	"Chômeurs"	0
"10.14"	"Femmes"	"CITE5"	"Chômeurs"	0
"15.19"	"Femmes"	"CITE5"	"Chômeurs"	15
"20.24"	"Femmes"	"CITE5"	"Chômeurs"	1863
"25.29"	"Femmes"	"CITE5"	"Chômeurs"	6782
"30.34"	"Femmes"	"CITE5"	"Chômeurs"	6385
"35.39"	"Femmes"	"CITE5"	"Chômeurs"	5494
"40.44"	"Femmes"	"CITE5"	"Chômeurs"	4639
"45.49"	"Femmes"	"CITE5"	"Chômeurs"	3768
"50.54"	"Femmes"	"CITE5"	"Chômeurs"	3811
"55.59"	"Femmes"	"CITE5"	"Chômeurs"	3312
"5.9"	"Femmes"	"CITE5"	"Chômeurs"	0
"60.64"	"Femmes"	"CITE5"	"Chômeurs"	887
"65.69"	"Femmes"	"CITE5"	"Chômeurs"	0
"70.74"	"Femmes"	"CITE5"	"Chômeurs"	0
"75.79"	"Femmes"	"CITE5"	"Chômeurs"	0
"80.84"	"Femmes"	"CITE5"	"Chômeurs"	0
"85.89"	"Femmes"	"CITE5"	"Chômeurs"	0
"90.94"	"Femmes"	"CITE5"	"Chômeurs"	0
"95."	"Femmes"	"CITE5"	"Chômeurs"	0
"0.5"	"Hommes"	"CITE5"	"Chômeurs"	0
"10.14"	"Hommes"	"CITE5"	"Chômeurs"	0
"15.19"	"Hommes"	"CITE5"	"Chômeurs"	0
"20.24"	"Hommes"	"CITE5"	"Chômeurs"	1000
"25.29"	"Hommes"	"CITE5"	"Chômeurs"	4542
"30.34"	"Hommes"	"CITE5"	"Chômeurs"	4972
"35.39"	"Hommes"	"CITE5"	"Chômeurs"	4205
"40.44"	"Hommes"	"CITE5"	"Chômeurs"	3737
"45.49"	"Hommes"	"CITE5"	"Chômeurs"	3536
"50.54"	"Hommes"	"CITE5"	"Chômeurs"	3541
"55.59"	"Hommes"	"CITE5"	"Chômeurs"	3140
"5.9"	"Hommes"	"CITE5"	"Chômeurs"	0
"60.64"	"Hommes"	"CITE5"	"Chômeurs"	605
"65.69"	"Hommes"	"CITE5"	"Chômeurs"	0
"70.74"	"Hommes"	"CITE5"	"Chômeurs"	0
"75.79"	"Hommes"	"CITE5"	"Chômeurs"	0
"80.84"	"Hommes"	"CITE5"	"Chômeurs"	0
"85.89"	"Hommes"	"CITE5"	"Chômeurs"	0
"90.94"	"Hommes"	"CITE5"	"Chômeurs"	0
"95."	"Hommes"	"CITE5"	"Chômeurs"	0
"0.5"	"Femmes"	"CITE6"	"Chômeurs"	0
"10.14"	"Femmes"	"CITE6"	"Chômeurs"	0
"15.19"	"Femmes"	"CITE6"	"Chômeurs"	0
"20.24"	"Femmes"	"CITE6"	"Chômeurs"	0
"25.29"	"Femmes"	"CITE6"	"Chômeurs"	96
"30.34"	"Femmes"	"CITE6"	"Chômeurs"	107
"35.39"	"Femmes"	"CITE6"	"Chômeurs"	97
"40.44"	"Femmes"	"CITE6"	"Chômeurs"	99
"45.49"	"Femmes"	"CITE6"	"Chômeurs"	69
"50.54"	"Femmes"	"CITE6"	"Chômeurs"	85
"55.59"	"Femmes"	"CITE6"	"Chômeurs"	53
"5.9"	"Femmes"	"CITE6"	"Chômeurs"	0
"60.64"	"Femmes"	"CITE6"	"Chômeurs"	28
"65.69"	"Femmes"	"CITE6"	"Chômeurs"	0
"70.74"	"Femmes"	"CITE6"	"Chômeurs"	0
"75.79"	"Femmes"	"CITE6"	"Chômeurs"	0
"80.84"	"Femmes"	"CITE6"	"Chômeurs"	0
"85.89"	"Femmes"	"CITE6"	"Chômeurs"	0
"90.94"	"Femmes"	"CITE6"	"Chômeurs"	0
"95."	"Femmes"	"CITE6"	"Chômeurs"	0
"0.5"	"Hommes"	"CITE6"	"Chômeurs"	0
"10.14"	"Hommes"	"CITE6"	"Chômeurs"	0
"15.19"	"Hommes"	"CITE6"	"Chômeurs"	0
"20.24"	"Hommes"	"CITE6"	"Chômeurs"	0
"25.29"	"Hommes"	"CITE6"	"Chômeurs"	82
"30.34"	"Hommes"	"CITE6"	"Chômeurs"	133
"35.39"	"Hommes"	"CITE6"	"Chômeurs"	104
"40.44"	"Hommes"	"CITE6"	"Chômeurs"	116
"45.49"	"Hommes"	"CITE6"	"Chômeurs"	106
"50.54"	"Hommes"	"CITE6"	"Chômeurs"	106
"55.59"	"Hommes"	"CITE6"	"Chômeurs"	101
"5.9"	"Hommes"	"CITE6"	"Chômeurs"	0
"60.64"	"Hommes"	"CITE6"	"Chômeurs"	25
"65.69"	"Hommes"	"CITE6"	"Chômeurs"	0
"70.74"	"Hommes"	"CITE6"	"Chômeurs"	0
"75.79"	"Hommes"	"CITE6"	"Chômeurs"	0
"80.84"	"Hommes"	"CITE6"	"Chômeurs"	0
"85.89"	"Hommes"	"CITE6"	"Chômeurs"	0
"90.94"	"Hommes"	"CITE6"	"Chômeurs"	0
"95."	"Hommes"	"CITE6"	"Chômeurs"	0
"0.5"	"Femmes"	"NonConcerne"	"Chômeurs"	0
"10.14"	"Femmes"	"NonConcerne"	"Chômeurs"	0
"15.19"	"Femmes"	"NonConcerne"	"Chômeurs"	0
"20.24"	"Femmes"	"NonConcerne"	"Chômeurs"	0
"25.29"	"Femmes"	"NonConcerne"	"Chômeurs"	0
"30.34"	"Femmes"	"NonConcerne"	"Chômeurs"	0
"35.39"	"Femmes"	"NonConcerne"	"Chômeurs"	0
"40.44"	"Femmes"	"NonConcerne"	"Chômeurs"	0
"45.49"	"Femmes"	"NonConcerne"	"Chômeurs"	0
"50.54"	"Femmes"	"NonConcerne"	"Chômeurs"	0
"55.59"	"Femmes"	"NonConcerne"	"Chômeurs"	0
"5.9"	"Femmes"	"NonConcerne"	"Chômeurs"	0
"60.64"	"Femmes"	"NonConcerne"	"Chômeurs"	0
"65.69"	"Femmes"	"NonConcerne"	"Chômeurs"	0
"70.74"	"Femmes"	"NonConcerne"	"Chômeurs"	0
"75.79"	"Femmes"	"NonConcerne"	"Chômeurs"	0
"80.84"	"Femmes"	"NonConcerne"	"Chômeurs"	0
"85.89"	"Femmes"	"NonConcerne"	"Chômeurs"	0
"90.94"	"Femmes"	"NonConcerne"	"Chômeurs"	0
"95."	"Femmes"	"NonConcerne"	"Chômeurs"	0
"0.5"	"Hommes"	"NonConcerne"	"Chômeurs"	0
"10.14"	"Hommes"	"NonConcerne"	"Chômeurs"	0
"15.19"	"Hommes"	"NonConcerne"	"Chômeurs"	0
"20.24"	"Hommes"	"NonConcerne"	"Chômeurs"	0
"25.29"	"Hommes"	"NonConcerne"	"Chômeurs"	0
"30.34"	"Hommes"	"NonConcerne"	"Chômeurs"	0
"35.39"	"Hommes"	"NonConcerne"	"Chômeurs"	0
"40.44"	"Hommes"	"NonConcerne"	"Chômeurs"	0
"45.49"	"Hommes"	"NonConcerne"	"Chômeurs"	0
"50.54"	"Hommes"	"NonConcerne"	"Chômeurs"	0
"55.59"	"Hommes"	"NonConcerne"	"Chômeurs"	0
"5.9"	"Hommes"	"NonConcerne"	"Chômeurs"	0
"60.64"	"Hommes"	"NonConcerne"	"Chômeurs"	0
"65.69"	"Hommes"	"NonConcerne"	"Chômeurs"	0
"70.74"	"Hommes"	"NonConcerne"	"Chômeurs"	0
"75.79"	"Hommes"	"NonConcerne"	"Chômeurs"	0
"80.84"	"Hommes"	"NonConcerne"	"Chômeurs"	0
"85.89"	"Hommes"	"NonConcerne"	"Chômeurs"	0
"90.94"	"Hommes"	"NonConcerne"	"Chômeurs"	0
"95."	"Hommes"	"NonConcerne"	"Chômeurs"	0
"0.5"	"Femmes"	"Aucun"	"Inactifs"	0
"10.14"	"Femmes"	"Aucun"	"Inactifs"	0
"15.19"	"Femmes"	"Aucun"	"Inactifs"	7
"20.24"	"Femmes"	"Aucun"	"Inactifs"	2
"25.29"	"Femmes"	"Aucun"	"Inactifs"	375
"30.34"	"Femmes"	"Aucun"	"Inactifs"	1707
"35.39"	"Femmes"	"Aucun"	"Inactifs"	2576
"40.44"	"Femmes"	"Aucun"	"Inactifs"	3604
"45.49"	"Femmes"	"Aucun"	"Inactifs"	5526
"50.54"	"Femmes"	"Aucun"	"Inactifs"	8227
"55.59"	"Femmes"	"Aucun"	"Inactifs"	10332
"5.9"	"Femmes"	"Aucun"	"Inactifs"	0
"60.64"	"Femmes"	"Aucun"	"Inactifs"	15613
"65.69"	"Femmes"	"Aucun"	"Inactifs"	17016
"70.74"	"Femmes"	"Aucun"	"Inactifs"	21625
"75.79"	"Femmes"	"Aucun"	"Inactifs"	22938
"80.84"	"Femmes"	"Aucun"	"Inactifs"	18604
"85.89"	"Femmes"	"Aucun"	"Inactifs"	11679
"90.94"	"Femmes"	"Aucun"	"Inactifs"	3778
"95."	"Femmes"	"Aucun"	"Inactifs"	1282
"0.5"	"Hommes"	"Aucun"	"Inactifs"	0
"10.14"	"Hommes"	"Aucun"	"Inactifs"	0
"15.19"	"Hommes"	"Aucun"	"Inactifs"	0
"20.24"	"Hommes"	"Aucun"	"Inactifs"	10
"25.29"	"Hommes"	"Aucun"	"Inactifs"	223
"30.34"	"Hommes"	"Aucun"	"Inactifs"	849
"35.39"	"Hommes"	"Aucun"	"Inactifs"	1475
"40.44"	"Hommes"	"Aucun"	"Inactifs"	2037
"45.49"	"Hommes"	"Aucun"	"Inactifs"	2536
"50.54"	"Hommes"	"Aucun"	"Inactifs"	3165
"55.59"	"Hommes"	"Aucun"	"Inactifs"	5231
"5.9"	"Hommes"	"Aucun"	"Inactifs"	0
"60.64"	"Hommes"	"Aucun"	"Inactifs"	11804
"65.69"	"Hommes"	"Aucun"	"Inactifs"	12903
"70.74"	"Hommes"	"Aucun"	"Inactifs"	16442
"75.79"	"Hommes"	"Aucun"	"Inactifs"	15689
"80.84"	"Hommes"	"Aucun"	"Inactifs"	9823
"85.89"	"Hommes"	"Aucun"	"Inactifs"	4675
"90.94"	"Hommes"	"Aucun"	"Inactifs"	1075
"95."	"Hommes"	"Aucun"	"Inactifs"	258
"0.5"	"Femmes"	"CITE1"	"Inactifs"	0
"10.14"	"Femmes"	"CITE1"	"Inactifs"	0
"15.19"	"Femmes"	"CITE1"	"Inactifs"	7088
"20.24"	"Femmes"	"CITE1"	"Inactifs"	7855
"25.29"	"Femmes"	"CITE1"	"Inactifs"	8223
"30.34"	"Femmes"	"CITE1"	"Inactifs"	9404
"35.39"	"Femmes"	"CITE1"	"Inactifs"	9692
"40.44"	"Femmes"	"CITE1"	"Inactifs"	10118
"45.49"	"Femmes"	"CITE1"	"Inactifs"	13852
"50.54"	"Femmes"	"CITE1"	"Inactifs"	19062
"55.59"	"Femmes"	"CITE1"	"Inactifs"	27549
"5.9"	"Femmes"	"CITE1"	"Inactifs"	0
"60.64"	"Femmes"	"CITE1"	"Inactifs"	54111
"65.69"	"Femmes"	"CITE1"	"Inactifs"	63302
"70.74"	"Femmes"	"CITE1"	"Inactifs"	79489
"75.79"	"Femmes"	"CITE1"	"Inactifs"	87313
"80.84"	"Femmes"	"CITE1"	"Inactifs"	82553
"85.89"	"Femmes"	"CITE1"	"Inactifs"	56345
"90.94"	"Femmes"	"CITE1"	"Inactifs"	18694
"95."	"Femmes"	"CITE1"	"Inactifs"	6159
"0.5"	"Hommes"	"CITE1"	"Inactifs"	0
"10.14"	"Hommes"	"CITE1"	"Inactifs"	0
"15.19"	"Hommes"	"CITE1"	"Inactifs"	10641
"20.24"	"Hommes"	"CITE1"	"Inactifs"	9880
"25.29"	"Hommes"	"CITE1"	"Inactifs"	7397
"30.34"	"Hommes"	"CITE1"	"Inactifs"	8883
"35.39"	"Hommes"	"CITE1"	"Inactifs"	9254
"40.44"	"Hommes"	"CITE1"	"Inactifs"	9311
"45.49"	"Hommes"	"CITE1"	"Inactifs"	9739
"50.54"	"Hommes"	"CITE1"	"Inactifs"	10988
"55.59"	"Hommes"	"CITE1"	"Inactifs"	18284
"5.9"	"Hommes"	"CITE1"	"Inactifs"	0
"60.64"	"Hommes"	"CITE1"	"Inactifs"	43420
"65.69"	"Hommes"	"CITE1"	"Inactifs"	47535
"70.74"	"Hommes"	"CITE1"	"Inactifs"	57911
"75.79"	"Hommes"	"CITE1"	"Inactifs"	56698
"80.84"	"Hommes"	"CITE1"	"Inactifs"	42178
"85.89"	"Hommes"	"CITE1"	"Inactifs"	21639
"90.94"	"Hommes"	"CITE1"	"Inactifs"	5157
"95."	"Hommes"	"CITE1"	"Inactifs"	1073
"0.5"	"Femmes"	"CITE2"	"Inactifs"	0
"10.14"	"Femmes"	"CITE2"	"Inactifs"	0
"15.19"	"Femmes"	"CITE2"	"Inactifs"	210068
"20.24"	"Femmes"	"CITE2"	"Inactifs"	17189
"25.29"	"Femmes"	"CITE2"	"Inactifs"	13932
"30.34"	"Femmes"	"CITE2"	"Inactifs"	11673
"35.39"	"Femmes"	"CITE2"	"Inactifs"	14565
"40.44"	"Femmes"	"CITE2"	"Inactifs"	18207
"45.49"	"Femmes"	"CITE2"	"Inactifs"	26100
"50.54"	"Femmes"	"CITE2"	"Inactifs"	34451
"55.59"	"Femmes"	"CITE2"	"Inactifs"	51747
"5.9"	"Femmes"	"CITE2"	"Inactifs"	0
"60.64"	"Femmes"	"CITE2"	"Inactifs"	85988
"65.69"	"Femmes"	"CITE2"	"Inactifs"	74543
"70.74"	"Femmes"	"CITE2"	"Inactifs"	70341
"75.79"	"Femmes"	"CITE2"	"Inactifs"	65260
"80.84"	"Femmes"	"CITE2"	"Inactifs"	49889
"85.89"	"Femmes"	"CITE2"	"Inactifs"	30181
"90.94"	"Femmes"	"CITE2"	"Inactifs"	9338
"95."	"Femmes"	"CITE2"	"Inactifs"	2769
"0.5"	"Hommes"	"CITE2"	"Inactifs"	0
"10.14"	"Hommes"	"CITE2"	"Inactifs"	0
"15.19"	"Hommes"	"CITE2"	"Inactifs"	224332
"20.24"	"Hommes"	"CITE2"	"Inactifs"	21373
"25.29"	"Hommes"	"CITE2"	"Inactifs"	13823
"30.34"	"Hommes"	"CITE2"	"Inactifs"	9549
"35.39"	"Hommes"	"CITE2"	"Inactifs"	9895
"40.44"	"Hommes"	"CITE2"	"Inactifs"	10627
"45.49"	"Hommes"	"CITE2"	"Inactifs"	12780
"50.54"	"Hommes"	"CITE2"	"Inactifs"	14085
"55.59"	"Hommes"	"CITE2"	"Inactifs"	33095
"5.9"	"Hommes"	"CITE2"	"Inactifs"	0
"60.64"	"Hommes"	"CITE2"	"Inactifs"	70574
"65.69"	"Hommes"	"CITE2"	"Inactifs"	58667
"70.74"	"Hommes"	"CITE2"	"Inactifs"	51948
"75.79"	"Hommes"	"CITE2"	"Inactifs"	43226
"80.84"	"Hommes"	"CITE2"	"Inactifs"	27835
"85.89"	"Hommes"	"CITE2"	"Inactifs"	13227
"90.94"	"Hommes"	"CITE2"	"Inactifs"	3108
"95."	"Hommes"	"CITE2"	"Inactifs"	522
"0.5"	"Femmes"	"CITE3"	"Inactifs"	0
"10.14"	"Femmes"	"CITE3"	"Inactifs"	0
"15.19"	"Femmes"	"CITE3"	"Inactifs"	75195
"20.24"	"Femmes"	"CITE3"	"Inactifs"	97019
"25.29"	"Femmes"	"CITE3"	"Inactifs"	22887
"30.34"	"Femmes"	"CITE3"	"Inactifs"	23317
"35.39"	"Femmes"	"CITE3"	"Inactifs"	22536
